timestamp,Total
8/21/2013,212064.862
8/22/2013,208041.898
8/23/2013,196472.818
8/24/2013,173777.958
8/25/2013,173908.36
8/26/2013,167508.908
8/27/2013,161459.866
8/28/2013,158548.63
8/29/2013,154932.548
8/30/2013,141534.006
8/31/2013,147735.658
9/1/2013,153560.632
9/2/2013,146965.808
9/3/2013,145196.372
9/4/2013,144685.7
9/5/2013,140698.264
9/6/2013,137936.216
9/7/2013,142329.014
9/8/2013,150851.81
9/9/2013,140705.308
9/10/2013,138388.53
9/11/2013,135259.37
9/12/2013,136149.81
9/13/2013,145052.696
9/14/2013,146888.964
9/15/2013,153809.042
9/16/2013,161884.134
9/17/2013,147179.006
9/18/2013,139684.19
9/19/2013,136901.82
9/20/2013,143161.776
9/21/2013,145732.104
9/22/2013,146819.126
9/23/2013,139692.688
9/24/2013,136224.382
9/25/2013,139084.902
9/26/2013,140410.31
9/27/2013,132052.914
9/28/2013,137201.138
9/29/2013,138148.78
9/30/2013,136332.756
10/1/2013,136956.802
10/2/2013,132005.864
10/3/2013,141470.934
10/4/2013,140210.732
10/5/2013,136569.594
10/6/2013,143945.242
10/7/2013,143788.872
10/8/2013,134641.76
10/9/2013,134552.57
10/10/2013,162095.602
10/11/2013,135692.796
10/12/2013,144239.87
10/13/2013,182058.832
10/14/2013,136290.236
10/15/2013,132286.136
10/16/2013,133061.102
10/17/2013,150976.344
10/18/2013,132395.726
10/19/2013,136527.782
10/20/2013,150751.038
10/21/2013,169105.132
10/22/2013,155684.802
10/23/2013,183066.52
10/24/2013,136889.16
10/25/2013,128935.62
10/26/2013,135433.188
10/27/2013,141929.15
10/28/2013,136227.722
10/29/2013,140122.31
10/30/2013,132956.63
10/31/2013,130515.442
11/1/2013,130589.436
11/2/2013,151846.332
11/3/2013,165696.486
11/4/2013,135159.026
11/5/2013,133419.336
11/6/2013,132607.882
11/7/2013,141293.552
11/8/2013,174502.528
11/9/2013,175295.998
11/10/2013,147705.088
11/11/2013,144653.602
11/12/2013,138153.918
11/13/2013,136425.078
11/14/2013,135144.196
11/15/2013,134642.76
11/16/2013,141040.666
11/17/2013,162916.058
11/18/2013,154629.246
11/19/2013,138941.388
11/20/2013,137436.144
11/21/2013,141110.822
11/22/2013,141131.308
11/23/2013,147802.624
11/24/2013,144006.038
11/25/2013,139000.46
11/26/2013,132841.58
11/27/2013,132219.98
11/28/2013,150493.29
11/29/2013,141543.174
11/30/2013,138912.05
12/1/2013,142055.286
12/2/2013,135486.124
12/3/2013,137680.16
12/4/2013,158021.41
12/5/2013,139821.68
12/6/2013,129280.444
12/7/2013,137940.172
12/8/2013,152771.974
12/9/2013,181253.326
12/10/2013,201946.53
12/11/2013,164886.76
12/12/2013,152777.348
12/13/2013,161985.652
12/14/2013,152334.002
12/15/2013,152479.554
